Protocol,Total,Terraswap,Lido,Mirror,Anchor,Spectrum Protocol,LoTerra,Pylon Protocol,ApolloDAO,Nexus Protocol,Loop Finance,Starterra,Astroport,Stader,INK Protocol,TerraFloki,Soluna,White Whale,PRISM Protocol,Edge Protocol,Mars Protocol,Risk Harbor,Kujira,Angel Protocol,BaksDAO,Aperture Finance,Steak
13/11/2020,2686772.128,2686772.128,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2020,2599113.178,2599113.178,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2020,2647372.718,2647372.718,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2020,2624493.64,2624493.64,,,,,,,,,,,,,,,,,,,,,,,,,
17/11/2020,2637887.885,2637887.885,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2020,2650648.347,2650648.347,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2020,2643382.091,2643382.091,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2020,2754107.876,2754107.876,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2020,2789311.488,2789311.488,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2020,2783460.451,2783460.451,,,,,,,,,,,,,,,,,,,,,,,,,
23/11/2020,2938146.375,2938146.375,,,,,,,,,,,,,,,,,,,,,,,,,
24/11/2020,3059596.43,3059596.43,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2020,3061326.693,3061326.693,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2020,2824573.06,2824573.06,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2020,2966932.704,2966932.704,,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2020,2942071.244,2942071.244,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2020,2919038.536,2919038.536,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2020,2985338.071,2985338.071,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2020,3007396.973,3007396.973,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,2958389.664,2958389.664,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2020,39020591.61,39020591.61,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020,39603264.66,39603264.66,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2020,43243526.01,43243526.01,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2020,44113128.91,44113128.91,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2020,40215485.55,40215485.55,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2020,41184881.63,41184881.63,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2020,42965308.58,42965308.58,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2020,46729612.48,46729612.48,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2020,48737564.16,48737564.16,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2020,50067594.08,50067594.08,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2020,50147586,50147586,,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2020,47826448.74,47826448.74,,,,,,,,,,,,,,,,,,,,,,,,,
15/12/2020,48161545.57,48161545.57,,,,,,,,,,,,,,,,,,,,,,,,,
16/12/2020,45558992.54,45558992.54,,,,,,,,,,,,,,,,,,,,,,,,,
